Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,4,1,1.203785087
2015,7,4,2,1.184910614
2015,7,4,3,1.160942569
2015,7,4,4,1.138734688
2015,7,4,5,1.102961753
2015,7,4,6,1.050363788
2015,7,4,7,0.98985065
2015,7,4,8,0.936869945
2015,7,4,9,0.879897162
2015,7,4,10,0.848603632
2015,7,4,11,0.882803324
2015,7,4,12,0.751358481
2015,7,4,13,0.857095142
2015,7,4,14,0.752506704
2015,7,4,15,0.836990112
2015,7,4,16,0.946169217
2015,7,4,17,0.905847894
2015,7,4,18,1.069253839
2015,7,4,19,1.012098586
2015,7,4,20,1.10554748
2015,7,4,21,1.134382121
2015,7,4,22,1.156176108
2015,7,4,23,1.239573599
2015,7,4,24,1.11007139
2015,7,5,1,1.235955361
2015,7,5,2,1.064244827
2015,7,5,3,1.100925659
2015,7,5,4,1.144738382
2015,7,5,5,0.964224803
2015,7,5,6,1.069258289
2015,7,5,7,0.877480553
2015,7,5,8,0.963287978
2015,7,5,9,0.791937932
2015,7,5,10,0.829157272
2015,7,5,11,0.809946787
2015,7,5,12,0.851634407
2015,7,5,13,0.734108431
2015,7,5,14,0.843307564
2015,7,5,15,0.778595401
2015,7,5,16,0.888738035
2015,7,5,17,1.006662328
2015,7,5,18,0.970711373
2015,7,5,19,1.135942013
2015,7,5,20,1.081003098
2015,7,5,21,1.234738156
2015,7,5,22,1.14854799
2015,7,5,23,1.229835955
2015,7,5,24,1.303589263
2015,7,6,1,1.171906319
2015,7,6,2,1.28057362
2015,7,6,3,1.121139726
2015,7,6,4,1.171002872
2015,7,6,5,1.131718511
2015,7,6,6,1.065430879
2015,7,6,7,1.066207487
2015,7,6,8,0.875322071
2015,7,6,9,0.966038372
2015,7,6,10,0.871358922
2015,7,6,11,0.803916391
2015,7,6,12,0.869941445
2015,7,6,13,0.949671743
2015,7,6,14,0.897380861
2015,7,6,15,1.05574219
2015,7,6,16,1.017314545
2015,7,6,17,1.194755069
2015,7,6,18,1.149751844
2015,7,6,19,1.268272501
2015,7,6,20,1.394241032
2015,7,6,21,1.295983397
2015,7,6,22,1.456665649
2015,7,6,23,1.331171095
2015,7,6,24,1.404897699
2015,7,7,1,1.387772263
2015,7,7,2,1.356116019
2015,7,7,3,1.398155226
2015,7,7,4,1.214702108
2015,7,7,5,1.311232957
2015,7,7,6,1.076254439
2015,7,7,7,1.073110177
2015,7,7,8,1.082629748
2015,7,7,9,0.891937928
2015,7,7,10,0.928594283
2015,7,7,11,0.968383774
2015,7,7,12,0.861616827
2015,7,7,13,0.949571607
2015,7,7,14,0.994356759
2015,7,7,15,1.044905278
2015,7,7,16,1.15932037
2015,7,7,17,1.114395028
2015,7,7,18,1.294269963
2015,7,7,19,1.218558446
2015,7,7,20,1.320661293
2015,7,7,21,1.412984216
2015,7,7,22,1.290818618
2015,7,7,23,1.432546289
2015,7,7,24,1.290809717
2015,7,8,1,1.415067039
2015,7,8,2,1.23747965
2015,7,8,3,1.282923472
2015,7,8,4,1.33565495
2015,7,8,5,1.128616528
2015,7,8,6,1.202156213
2015,7,8,7,0.981808638
2015,7,8,8,0.99894075
2015,7,8,9,0.953750605
2015,7,8,10,0.979830401
2015,7,8,11,0.842439721
2015,7,8,12,0.963806458
2015,7,8,13,0.886381507
2015,7,8,14,1.030732734
2015,7,8,15,0.97366649
2015,7,8,16,1.078713328
2015,7,8,17,1.194646032
2015,7,8,18,1.139442314
2015,7,8,19,1.306259549
2015,7,8,20,1.221836223
2015,7,8,21,1.313162239
2015,7,8,22,1.328843495
2015,7,8,23,1.332875627
2015,7,8,24,1.397616719
2015,7,9,1,1.246963617
2015,7,9,2,1.362068532
2015,7,9,3,1.193976236
2015,7,9,4,1.243690291
2015,7,9,5,1.26467429
