Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,1,1,1,0.0
2015,1,1,2,0.0
2015,1,1,3,0.0
2015,1,1,4,0.0
2015,1,1,5,0.0006390528261358227
2015,1,1,6,0.06976923034020598
2015,1,1,7,0.2592660759997602
2015,1,1,8,0.4696926950653483
2015,1,1,9,0.6179418505837493
2015,1,1,10,0.6832657738903135
2015,1,1,11,0.7040345661870016
2015,1,1,12,0.704024584545374
2015,1,1,13,0.6925311281609867
2015,1,1,14,0.6621460616334744
2015,1,1,15,0.5856277769732763
2015,1,1,16,0.417629526981378
2015,1,1,17,0.18704044260245778
2015,1,1,18,0.05926236226239171
2015,1,1,19,0.00018007360599350356
2015,1,1,20,0.0
2015,1,1,21,0.0
2015,1,1,22,0.0
2015,1,1,23,0.0
2015,1,1,24,0.0
2015,1,2,1,0.0
2015,1,2,2,0.0
2015,1,2,3,0.0
2015,1,2,4,0.0
2015,1,2,5,0.0013348976385638752
2015,1,2,6,0.07799727018701348
2015,1,2,7,0.2603140911269291
2015,1,2,8,0.47512392022788663
2015,1,2,9,0.6329631873928987
2015,1,2,10,0.6891209530353669
2015,1,2,11,0.7043119297171744
2015,1,2,12,0.701354456025582
2015,1,2,13,0.6901604287160077
2015,1,2,14,0.6520251802796223
2015,1,2,15,0.5659734483991468
2015,1,2,16,0.38367511164784635
2015,1,2,17,0.161340252059844
2015,1,2,18,0.04451355525439605
2015,1,2,19,0.00022540533171027942
2015,1,2,20,0.0
2015,1,2,21,0.0
2015,1,2,22,0.0
2015,1,2,23,0.0
2015,1,2,24,0.0
2015,1,3,1,0.0
2015,1,3,2,0.0
2015,1,3,3,0.0
2015,1,3,4,0.0
2015,1,3,5,0.0008212974826772299
2015,1,3,6,0.06529562597817036
2015,1,3,7,0.22874568323922292
2015,1,3,8,0.4363620019666217
2015,1,3,9,0.6022751568815052
2015,1,3,10,0.6707836453169026
2015,1,3,11,0.6853920826384057
2015,1,3,12,0.6794824125845874
2015,1,3,13,0.6649648034964047
2015,1,3,14,0.6306948971205214
2015,1,3,15,0.5496402246826464
2015,1,3,16,0.37293805513618994
2015,1,3,17,0.15615840608838794
2015,1,3,18,0.040840103521997406
2015,1,3,19,0.00014730344793173513
2015,1,3,20,0.0
2015,1,3,21,0.0
2015,1,3,22,0.0
2015,1,3,23,0.0
2015,1,3,24,0.0
2015,1,4,1,0.0
2015,1,4,2,0.0
2015,1,4,3,0.0
2015,1,4,4,0.0
2015,1,4,5,0.0001985795303606518
2015,1,4,6,0.07532521247506194
2015,1,4,7,0.24283981259218226
2015,1,4,8,0.4413387156058506
2015,1,4,9,0.5965770235335014
2015,1,4,10,0.661802461195379
2015,1,4,11,0.6885649365048515
2015,1,4,12,0.6889016291175264
2015,1,4,13,0.662326861483611
2015,1,4,14,0.6218270877909179
2015,1,4,15,0.5301588738071803
2015,1,4,16,0.34607561377829077
2015,1,4,17,0.1352820300774096
2015,1,4,18,0.03130144083226948
2015,1,4,19,1.3291040747867452e-05
2015,1,4,20,0.0
2015,1,4,21,0.0
2015,1,4,22,0.0
2015,1,4,23,0.0
2015,1,4,24,0.0
2015,1,5,1,0.0
2015,1,5,2,0.0
2015,1,5,3,0.0
2015,1,5,4,0.0
2015,1,5,5,0.0006266138163018802
2015,1,5,6,0.08461487631874645
2015,1,5,7,0.2480138406628069
2015,1,5,8,0.43506998648691236
2015,1,5,9,0.597902316452267
2015,1,5,10,0.6731480236810781
2015,1,5,11,0.6980876950151078
2015,1,5,12,0.6989219626843488
2015,1,5,13,0.6830665666100535
2015,1,5,14,0.6494461481526207
