Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,1,1,1,0.3710218104238979
2015,1,1,2,0.36557210488291864
2015,1,1,3,0.3638623255148273
2015,1,1,4,0.36184519002585297
2015,1,1,5,0.3569734754540041
2015,1,1,6,0.3487361491354673
2015,1,1,7,0.3368371585727038
2015,1,1,8,0.3185963915137018
2015,1,1,9,0.29669306163015635
2015,1,1,10,0.2802514507176056
2015,1,1,11,0.26549688656430154
2015,1,1,12,0.25026071908266767
2015,1,1,13,0.2301750045866104
2015,1,1,14,0.21114873800343015
2015,1,1,15,0.19593645499917414
2015,1,1,16,0.16178379116405708
2015,1,1,17,0.13039872441463538
2015,1,1,18,0.1046908053350011
2015,1,1,19,0.0913824849109018
2015,1,1,20,0.08964293807639716
2015,1,1,21,0.09286136448237982
2015,1,1,22,0.10082121323802441
2015,1,1,23,0.12434080251805475
2015,1,1,24,0.14776209466557652
2015,1,2,1,0.1647269442469455
2015,1,2,2,0.16511351182667977
2015,1,2,3,0.158895714428001
2015,1,2,4,0.15287447382921157
2015,1,2,5,0.1472719240168872
2015,1,2,6,0.1435337038080374
2015,1,2,7,0.144353038272226
2015,1,2,8,0.14884900597986644
2015,1,2,9,0.1556008867017017
2015,1,2,10,0.16353090378570376
2015,1,2,11,0.1736914807491528
2015,1,2,12,0.18387928458623765
2015,1,2,13,0.1956662203429655
2015,1,2,14,0.20625591426412512
2015,1,2,15,0.21620710293238748
2015,1,2,16,0.1976977840069398
2015,1,2,17,0.17263535163906824
2015,1,2,18,0.15749161830704572
2015,1,2,19,0.16158339134387006
2015,1,2,20,0.17198783893956926
2015,1,2,21,0.18014474729406577
2015,1,2,22,0.18617115756222058
2015,1,2,23,0.19725797875130266
2015,1,2,24,0.2142788081766149
2015,1,3,1,0.2297120391964253
2015,1,3,2,0.22943329812725285
2015,1,3,3,0.21978263833428743
2015,1,3,4,0.21181760038838188
2015,1,3,5,0.20756619487481912
2015,1,3,6,0.20497430988168897
2015,1,3,7,0.20473463035415013
2015,1,3,8,0.1986431674744785
2015,1,3,9,0.19153987734642233
2015,1,3,10,0.1867825881641958
2015,1,3,11,0.18669635571243853
2015,1,3,12,0.1893400430627635
2015,1,3,13,0.18919194797677408
2015,1,3,14,0.1881862069268672
2015,1,3,15,0.17832155461834853
2015,1,3,16,0.1524235962467113
2015,1,3,17,0.14139448836266108
2015,1,3,18,0.1316474568144317
2015,1,3,19,0.133626394902719
2015,1,3,20,0.141224352699843
2015,1,3,21,0.1461107706701876
2015,1,3,22,0.14685544257581784
2015,1,3,23,0.1394107866432644
2015,1,3,24,0.1422271729992975
2015,1,4,1,0.15054013487844872
2015,1,4,2,0.14763767894374652
2015,1,4,3,0.14875071253179545
2015,1,4,4,0.15290069469335343
2015,1,4,5,0.15694399500818101
2015,1,4,6,0.16090513655822342
2015,1,4,7,0.16281865462607883
2015,1,4,8,0.16342870468262066
2015,1,4,9,0.1649328981723478
2015,1,4,10,0.17096568048982724
2015,1,4,11,0.18031663216288293
2015,1,4,12,0.18811954601808298
2015,1,4,13,0.1939010963589359
2015,1,4,14,0.20342370824212963
2015,1,4,15,0.21416949119520265
2015,1,4,16,0.19597003978072602
2015,1,4,17,0.15852744742302288
2015,1,4,18,0.1396691184455998
2015,1,4,19,0.13640680796214635
2015,1,4,20,0.13732312965467494
2015,1,4,21,0.1394294299439123
2015,1,4,22,0.1373507734709798
2015,1,4,23,0.13703579810513827
2015,1,4,24,0.15784713755792026
2015,1,5,1,0.18272572319360597
2015,1,5,2,0.21101165899264127
2015,1,5,3,0.23536085961026085
2015,1,5,4,0.25491051201409487
2015,1,5,5,0.27645985459305383
2015,1,5,6,0.29333404458915224
2015,1,5,7,0.3068577460497163
2015,1,5,8,0.32049995820276433
2015,1,5,9,0.33521511369283097
2015,1,5,10,0.3489243963253528
2015,1,5,11,0.36378802953836537
2015,1,5,12,0.3743424781117291
2015,1,5,13,0.38591554445471415
2015,1,5,14,0.3981839570857576
2015,1,5,15,0.40639035109686206
2015,1,5,16,0.37115827739228574
2015,1,5,17,0.3193944749937225
2015,1,5,18,0.29439421705577185
2015,1,5,19,0.26765548781871384
2015,1,5,20,0.24119281090621877
2015,1,5,21,0.22614706781680732
2015,1,5,22,0.20662874122004712
2015,1,5,23,0.2006596316128655
2015,1,5,24,0.2199584739225997
2015,1,6,1,0.23476893593253603
2015,1,6,2,0.24410520870202854
2015,1,6,3,0.25251802935903966
2015,1,6,4,0.25512232134073776
2015,1,6,5,0.25837543450931627
2015,1,6,6,0.26197928125025005
2015,1,6,7,0.2680887687648752
2015,1,6,8,0.27628550187195416
2015,1,6,9,0.2801937794882986
2015,1,6,10,0.2871652538982485
2015,1,6,11,0.29241776357793764
2015,1,6,12,0.28914136954889197
2015,1,6,13,0.28391966964756055
2015,1,6,14,0.2810844041320456
2015,1,6,15,0.27822095167103955
2015,1,6,16,0.24029683269056493
2015,1,6,17,0.1620770294256732
2015,1,6,18,0.11966837062076076
2015,1,6,19,0.10831280946506114
2015,1,6,20,0.10421809907124663
2015,1,6,21,0.10174036587871922
2015,1,6,22,0.10030730765251704
2015,1,6,23,0.1129464987625335
2015,1,6,24,0.14643298898807736
2015,1,7,1,0.17519390620379838
2015,1,7,2,0.19567883695373275
2015,1,7,3,0.2118412692704646
2015,1,7,4,0.21608762512486962
2015,1,7,5,0.21517712252527663
2015,1,7,6,0.21458961314884797
2015,1,7,7,0.21459261061565274
2015,1,7,8,0.21525895805550296
2015,1,7,9,0.2181813490693005
2015,1,7,10,0.22406717629735473
2015,1,7,11,0.23380276343088696
2015,1,7,12,0.24787488468791705
2015,1,7,13,0.2625843998663593
2015,1,7,14,0.2786637414250376
2015,1,7,15,0.2922512297400492
2015,1,7,16,0.26344948389586875
2015,1,7,17,0.2085451089116675
2015,1,7,18,0.19494635036486266
2015,1,7,19,0.1924869985497461
2015,1,7,20,0.1891298066254045
2015,1,7,21,0.18883345734900414
2015,1,7,22,0.19013011889093126
2015,1,7,23,0.20877062535772217
2015,1,7,24,0.2525557265685635
2015,1,8,1,0.29429663929096117
2015,1,8,2,0.31773744792960246
2015,1,8,3,0.33675665352797246
2015,1,8,4,0.3532289011178472
2015,1,8,5,0.36880933197361127
2015,1,8,6,0.38203070115259674
2015,1,8,7,0.3830073705404516
2015,1,8,8,0.37824860759166984
2015,1,8,9,0.3782615377424117
2015,1,8,10,0.3759788688509575
2015,1,8,11,0.3692279872326319
2015,1,8,12,0.3653514973501225
2015,1,8,13,0.35359159145062696
2015,1,8,14,0.3393497388723621
2015,1,8,15,0.32144975290284306
2015,1,8,16,0.2805430403723404
2015,1,8,17,0.2399540626201309
2015,1,8,18,0.21628466013195907
2015,1,8,19,0.19975320105410807
2015,1,8,20,0.18725576575727287
2015,1,8,21,0.1757408732947472
2015,1,8,22,0.1691642975048085
2015,1,8,23,0.16766657102420557
2015,1,8,24,0.18002128433363904
2015,1,9,1,0.18770048724486924
2015,1,9,2,0.1857600639263965
2015,1,9,3,0.17977661994345884
2015,1,9,4,0.17208748645231342
2015,1,9,5,0.16627904531081514
2015,1,9,6,0.15967763936569285
2015,1,9,7,0.1544352919465095
2015,1,9,8,0.15109408314840123
2015,1,9,9,0.15124398170358427
2015,1,9,10,0.15357578447365522
2015,1,9,11,0.1580231624348964
2015,1,9,12,0.1640564228799334
2015,1,9,13,0.17337826120939206
2015,1,9,14,0.18518523568218626
2015,1,9,15,0.19505644964865085
2015,1,9,16,0.176009502209546
2015,1,9,17,0.1519955308880566
2015,1,9,18,0.1157846289875459
2015,1,9,19,0.07732924250301502
2015,1,9,20,0.05841806690918919
2015,1,9,21,0.051866497744335625
2015,1,9,22,0.05458056236447014
2015,1,9,23,0.07417062879857485
2015,1,9,24,0.11959409053102116
2015,1,10,1,0.17190727118224966
2015,1,10,2,0.20168543868647187
2015,1,10,3,0.20909496073081996
2015,1,10,4,0.21159866310727318
2015,1,10,5,0.21677778035902848
2015,1,10,6,0.2208902803296312
2015,1,10,7,0.2227347600981795
2015,1,10,8,0.2188051119869119
2015,1,10,9,0.21014283842837866
2015,1,10,10,0.20032139521359157
2015,1,10,11,0.1883923869073686
2015,1,10,12,0.17328355685313848
2015,1,10,13,0.15959005885044922
2015,1,10,14,0.1479481286105773
2015,1,10,15,0.13432601249369222
2015,1,10,16,0.10230579775183693
2015,1,10,17,0.07066386019873626
2015,1,10,18,0.055334969021878774
2015,1,10,19,0.0485223928346931
2015,1,10,20,0.04686263787911757
2015,1,10,21,0.04611215938627978
2015,1,10,22,0.04450636836348739
2015,1,10,23,0.04906846480000965
2015,1,10,24,0.06873158344401482
2015,1,11,1,0.09119990356211831
2015,1,11,2,0.10022735858658142
2015,1,11,3,0.1020100999045483
2015,1,11,4,0.10168167529458401
2015,1,11,5,0.10431662032609867
2015,1,11,6,0.1103367323431408
2015,1,11,7,0.11554224622659647
2015,1,11,8,0.119282609298108
2015,1,11,9,0.12179916148555714
2015,1,11,10,0.11954290240604104
2015,1,11,11,0.11803293700264994
2015,1,11,12,0.11837730955465664
2015,1,11,13,0.11775982375837557
2015,1,11,14,0.11658512721304272
2015,1,11,15,0.11420314453759578
2015,1,11,16,0.08425657168213173
2015,1,11,17,0.06706360035056687
2015,1,11,18,0.06473928971147268
2015,1,11,19,0.06587385720616784
2015,1,11,20,0.06852617329715488
2015,1,11,21,0.06904751202663549
2015,1,11,22,0.06397320858006737
2015,1,11,23,0.05931082269506731
2015,1,11,24,0.06806211163975508
2015,1,12,1,0.07633888315448611
2015,1,12,2,0.08203427340901022
2015,1,12,3,0.08727415490818004
2015,1,12,4,0.09367073734822845
2015,1,12,5,0.09865707007036463
2015,1,12,6,0.0993039110072602
2015,1,12,7,0.09759850607210953
2015,1,12,8,0.09657677816644639
2015,1,12,9,0.09663671520406421
2015,1,12,10,0.10219742109722905
2015,1,12,11,0.1084848349870976
2015,1,12,12,0.11467800690406164
2015,1,12,13,0.12124895768189199
2015,1,12,14,0.13183592705852604
2015,1,12,15,0.14315781331840538
2015,1,12,16,0.13644350829183277
2015,1,12,17,0.11141058179153414
2015,1,12,18,0.0882142765616298
2015,1,12,19,0.0769846298575371
2015,1,12,20,0.0760991774450454
2015,1,12,21,0.07802735452931905
2015,1,12,22,0.08163282839667715
2015,1,12,23,0.10357774023801074
2015,1,12,24,0.14573402331942265
2015,1,13,1,0.19559555544510565
2015,1,13,2,0.22558446177126196
2015,1,13,3,0.24206396415584785
2015,1,13,4,0.2466530834239321
2015,1,13,5,0.2463821411627966
2015,1,13,6,0.24716548257046203
2015,1,13,7,0.2497741373768046
2015,1,13,8,0.25082799069946415
2015,1,13,9,0.24873118270057856
2015,1,13,10,0.2442012601920517
2015,1,13,11,0.2426003713342444
2015,1,13,12,0.24508293683145385
2015,1,13,13,0.24623836159908769
2015,1,13,14,0.24450152943748515
2015,1,13,15,0.23893519776298938
2015,1,13,16,0.21657389183997414
2015,1,13,17,0.19469917885231064
2015,1,13,18,0.16958877745587836
2015,1,13,19,0.15031590380250567
2015,1,13,20,0.1483629518184766
2015,1,13,21,0.1558817870448558
2015,1,13,22,0.16672422692733194
2015,1,13,23,0.19225547676775923
2015,1,13,24,0.23479354460548116
2015,1,14,1,0.2946155940630372
2015,1,14,2,0.3151666253199498
2015,1,14,3,0.31675347003949667
2015,1,14,4,0.31150009070752543
2015,1,14,5,0.30746569469352875
2015,1,14,6,0.30668357788509226
2015,1,14,7,0.30598508908960215
2015,1,14,8,0.3102618478561955
2015,1,14,9,0.3159415885443284
2015,1,14,10,0.3259976524556686
2015,1,14,11,0.33621073982701477
2015,1,14,12,0.34123389230494966
2015,1,14,13,0.34099493566286376
2015,1,14,14,0.3387683464600955
2015,1,14,15,0.33736911273565406
2015,1,14,16,0.301638413379075
2015,1,14,17,0.2444502408583303
2015,1,14,18,0.20030081443152511
2015,1,14,19,0.17639316695929816
2015,1,14,20,0.17342492159014497
2015,1,14,21,0.17435237959555022
2015,1,14,22,0.18144821048853182
2015,1,14,23,0.20616084566719664
2015,1,14,24,0.23967113434304646
2015,1,15,1,0.2772793678720784
2015,1,15,2,0.2958655993607586
2015,1,15,3,0.30118407079061954
2015,1,15,4,0.298562401481494
2015,1,15,5,0.28929918230446183
2015,1,15,6,0.28440415730475843
2015,1,15,7,0.28320531415359124
2015,1,15,8,0.2830570732060918
2015,1,15,9,0.2820023568388637
2015,1,15,10,0.2824154252356379
2015,1,15,11,0.28726550920157434
2015,1,15,12,0.29186279156051215
2015,1,15,13,0.2978830912675918
2015,1,15,14,0.3056943095660003
2015,1,15,15,0.3037120870136655
2015,1,15,16,0.25495231765741844
2015,1,15,17,0.21377386761721637
2015,1,15,18,0.18753517434099748
2015,1,15,19,0.17557942164588708
2015,1,15,20,0.17757086847179568
2015,1,15,21,0.18729526270991384
2015,1,15,22,0.2035960027571702
2015,1,15,23,0.22765848601492703
2015,1,15,24,0.2639237654610716
2015,1,16,1,0.30871785164862686
2015,1,16,2,0.3345384046560743
2015,1,16,3,0.3507528887823619
2015,1,16,4,0.3617834112327078
2015,1,16,5,0.3736438708842809
2015,1,16,6,0.38590379076423614
2015,1,16,7,0.4008644170566916
2015,1,16,8,0.4100328536397136
2015,1,16,9,0.4126685652784501
2015,1,16,10,0.41395991467732896
2015,1,16,11,0.41961880258214873
2015,1,16,12,0.426536143017506
2015,1,16,13,0.4334389663288483
2015,1,16,14,0.4376743633823889
2015,1,16,15,0.4337914160642068
2015,1,16,16,0.3925291173477824
2015,1,16,17,0.3307007791711867
2015,1,16,18,0.31219477779211297
2015,1,16,19,0.3256771357628635
2015,1,16,20,0.3514952164559197
2015,1,16,21,0.3718567457695715
2015,1,16,22,0.38167492721034213
2015,1,16,23,0.3809310370623393
2015,1,16,24,0.4039114327796698
2015,1,17,1,0.4235638691424295
2015,1,17,2,0.4290382442536921
2015,1,17,3,0.43851582214030366
2015,1,17,4,0.44171310811354286
2015,1,17,5,0.4335929235760904
2015,1,17,6,0.4287397205560502
2015,1,17,7,0.4269481385028837
2015,1,17,8,0.42694219662274885
2015,1,17,9,0.4337925729636679
2015,1,17,10,0.43663737920422735
2015,1,17,11,0.43688690047462087
2015,1,17,12,0.4350960264979271
2015,1,17,13,0.43399274318310893
2015,1,17,14,0.43230090715090536
2015,1,17,15,0.4348110657506382
2015,1,17,16,0.3918179332411898
2015,1,17,17,0.33191349210615195
2015,1,17,18,0.28856808205269474
2015,1,17,19,0.2608808580133337
2015,1,17,20,0.24401467351820022
2015,1,17,21,0.23513331566566306
2015,1,17,22,0.23608083637113986
2015,1,17,23,0.2594119131530862
2015,1,17,24,0.29977220944602795
2015,1,18,1,0.3301068382872335
2015,1,18,2,0.34814011585663346
2015,1,18,3,0.3628887569191569
2015,1,18,4,0.3769880938131861
2015,1,18,5,0.39058849138324
2015,1,18,6,0.401223856341095
2015,1,18,7,0.39837194193901315
2015,1,18,8,0.3875076668810566
2015,1,18,9,0.37491437026993735
2015,1,18,10,0.3642042682819616
2015,1,18,11,0.36501591078146994
2015,1,18,12,0.3667137520352793
2015,1,18,13,0.3647359569257268
2015,1,18,14,0.36336564820971295
2015,1,18,15,0.3675643037019969
2015,1,18,16,0.338771641780019
2015,1,18,17,0.28495604177101796
2015,1,18,18,0.269237742966134
2015,1,18,19,0.2872916585335794
2015,1,18,20,0.3065774124859325
2015,1,18,21,0.31871824885991473
2015,1,18,22,0.31776658973292876
2015,1,18,23,0.31693731490586635
2015,1,18,24,0.32843926975791965
2015,1,19,1,0.3379890767742713
2015,1,19,2,0.3356767647291624
2015,1,19,3,0.32867011874889523
2015,1,19,4,0.3283284432226152
2015,1,19,5,0.33398459054343754
2015,1,19,6,0.34121809980481527
2015,1,19,7,0.3430220239757204
2015,1,19,8,0.3440366432892041
2015,1,19,9,0.3424887099126935
2015,1,19,10,0.3360010263683355
2015,1,19,11,0.32509420362433644
2015,1,19,12,0.3154270107013893
2015,1,19,13,0.30842369256833674
2015,1,19,14,0.299829578548359
2015,1,19,15,0.2906624396618743
2015,1,19,16,0.259580372164076
2015,1,19,17,0.21108008896035152
2015,1,19,18,0.1951703208287588
2015,1,19,19,0.1964318484800534
2015,1,19,20,0.20101275463121768
2015,1,19,21,0.2067231340864313
2015,1,19,22,0.20786257701054864
